Model         : resnetbase
  load_state  : 
Dataset       : MaskDatasetA
  train_len         15120
  test_len           3780
Train_trans   : A_random_trans
Test_trans    : A_just_tensor
Start_Date    : 20210826_031737
Device        : cuda:0
CLASS_NUM     : 18
NUM_WORKERS   : 4
BATCH_SIZE    : 32
NUM_EPOCH     : 100
SAVE_INTERVAL : 3



[TEST ] Epoch 031 // (avg) Loss : 0.734, Accuracy : 0.796, F1 : 0.290
[TRAIN] Epoch 032 // (avg) Loss : 0.337, Accuracy : 0.877, F1 : 0.290
[TEST ] Epoch 032 // (avg) Loss : 0.706, Accuracy : 0.805, F1 : 0.291
[TRAIN] Epoch 033 // (avg) Loss : 0.326, Accuracy : 0.882, F1 : 0.289
[TEST ] Epoch 033 // (avg) Loss : 0.844, Accuracy : 0.784, F1 : 0.290
[TRAIN] Epoch 034 // (avg) Loss : 0.306, Accuracy : 0.889, F1 : 0.290
[TEST ] Epoch 034 // (avg) Loss : 0.964, Accuracy : 0.697, F1 : 0.266
[TRAIN] Epoch 035 // (avg) Loss : 0.312, Accuracy : 0.884, F1 : 0.290
[TEST ] Epoch 035 // (avg) Loss : 0.832, Accuracy : 0.785, F1 : 0.282
[TRAIN] Epoch 036 // (avg) Loss : 0.293, Accuracy : 0.891, F1 : 0.290
[TEST ] Epoch 036 // (avg) Loss : 0.680, Accuracy : 0.808, F1 : 0.292
[TRAIN] Epoch 037 // (avg) Loss : 0.283, Accuracy : 0.898, F1 : 0.290
[TEST ] Epoch 037 // (avg) Loss : 0.888, Accuracy : 0.761, F1 : 0.287
[TRAIN] Epoch 038 // (avg) Loss : 0.272, Accuracy : 0.899, F1 : 0.290
[TEST ] Epoch 038 // (avg) Loss : 0.848, Accuracy : 0.734, F1 : 0.285
[TRAIN] Epoch 039 // (avg) Loss : 0.274, Accuracy : 0.901, F1 : 0.290
[TEST ] Epoch 039 // (avg) Loss : 0.934, Accuracy : 0.681, F1 : 0.296
[TRAIN] Epoch 040 // (avg) Loss : 0.263, Accuracy : 0.906, F1 : 0.290
[TEST ] Epoch 040 // (avg) Loss : 0.944, Accuracy : 0.716, F1 : 0.268
[TRAIN] Epoch 041 // (avg) Loss : 0.264, Accuracy : 0.904, F1 : 0.290
[TEST ] Epoch 041 // (avg) Loss : 0.849, Accuracy : 0.760, F1 : 0.277
[TRAIN] Epoch 042 // (avg) Loss : 0.246, Accuracy : 0.911, F1 : 0.290
[TEST ] Epoch 042 // (avg) Loss : 0.821, Accuracy : 0.757, F1 : 0.287
[TRAIN] Epoch 043 // (avg) Loss : 0.254, Accuracy : 0.909, F1 : 0.290
[TEST ] Epoch 043 // (avg) Loss : 0.891, Accuracy : 0.754, F1 : 0.279
[TRAIN] Epoch 044 // (avg) Loss : 0.238, Accuracy : 0.914, F1 : 0.290
[TEST ] Epoch 044 // (avg) Loss : 0.765, Accuracy : 0.765, F1 : 0.295
[TRAIN] Epoch 045 // (avg) Loss : 0.234, Accuracy : 0.915, F1 : 0.290
[TEST ] Epoch 045 // (avg) Loss : 0.986, Accuracy : 0.675, F1 : 0.288
[TRAIN] Epoch 046 // (avg) Loss : 0.236, Accuracy : 0.912, F1 : 0.290
[TEST ] Epoch 046 // (avg) Loss : 0.699, Accuracy : 0.808, F1 : 0.288
[TRAIN] Epoch 047 // (avg) Loss : 0.224, Accuracy : 0.919, F1 : 0.290
[TEST ] Epoch 047 // (avg) Loss : 0.680, Accuracy : 0.823, F1 : 0.287
[TRAIN] Epoch 048 // (avg) Loss : 0.232, Accuracy : 0.914, F1 : 0.290
[TEST ] Epoch 048 // (avg) Loss : 0.672, Accuracy : 0.835, F1 : 0.291
[TRAIN] Epoch 049 // (avg) Loss : 0.208, Accuracy : 0.925, F1 : 0.290
[TEST ] Epoch 049 // (avg) Loss : 0.658, Accuracy : 0.815, F1 : 0.289
[TRAIN] Epoch 050 // (avg) Loss : 0.194, Accuracy : 0.932, F1 : 0.290
[TEST ] Epoch 050 // (avg) Loss : 1.017, Accuracy : 0.630, F1 : 0.270
[TRAIN] Epoch 051 // (avg) Loss : 0.193, Accuracy : 0.930, F1 : 0.290
[TEST ] Epoch 051 // (avg) Loss : 0.727, Accuracy : 0.781, F1 : 0.276
[TRAIN] Epoch 052 // (avg) Loss : 0.185, Accuracy : 0.933, F1 : 0.290
[TEST ] Epoch 052 // (avg) Loss : 0.856, Accuracy : 0.726, F1 : 0.274
[TRAIN] Epoch 053 // (avg) Loss : 0.196, Accuracy : 0.926, F1 : 0.290
[TEST ] Epoch 053 // (avg) Loss : 1.195, Accuracy : 0.596, F1 : 0.276
[TRAIN] Epoch 054 // (avg) Loss : 0.180, Accuracy : 0.935, F1 : 0.291
[TEST ] Epoch 054 // (avg) Loss : 0.638, Accuracy : 0.809, F1 : 0.289
[TRAIN] Epoch 055 // (avg) Loss : 0.181, Accuracy : 0.932, F1 : 0.290
[TEST ] Epoch 055 // (avg) Loss : 0.786, Accuracy : 0.749, F1 : 0.276
[TRAIN] Epoch 056 // (avg) Loss : 0.168, Accuracy : 0.938, F1 : 0.291
[TEST ] Epoch 056 // (avg) Loss : 0.684, Accuracy : 0.828, F1 : 0.288
[TRAIN] Epoch 057 // (avg) Loss : 0.165, Accuracy : 0.941, F1 : 0.290
[TEST ] Epoch 057 // (avg) Loss : 0.661, Accuracy : 0.811, F1 : 0.296
[TRAIN] Epoch 058 // (avg) Loss : 0.179, Accuracy : 0.935, F1 : 0.290
[TEST ] Epoch 058 // (avg) Loss : 0.614, Accuracy : 0.827, F1 : 0.294
[TRAIN] Epoch 059 // (avg) Loss : 0.161, Accuracy : 0.941, F1 : 0.290
[TEST ] Epoch 059 // (avg) Loss : 0.811, Accuracy : 0.767, F1 : 0.288
[TRAIN] Epoch 060 // (avg) Loss : 0.165, Accuracy : 0.941, F1 : 0.290
[TEST ] Epoch 060 // (avg) Loss : 0.857, Accuracy : 0.736, F1 : 0.272
[TRAIN] Epoch 061 // (avg) Loss : 0.151, Accuracy : 0.945, F1 : 0.291
[TEST ] Epoch 061 // (avg) Loss : 0.648, Accuracy : 0.827, F1 : 0.293
[TRAIN] Epoch 062 // (avg) Loss : 0.160, Accuracy : 0.943, F1 : 0.291
[TEST ] Epoch 062 // (avg) Loss : 0.683, Accuracy : 0.816, F1 : 0.292
[TRAIN] Epoch 063 // (avg) Loss : 0.151, Accuracy : 0.947, F1 : 0.291
